Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
3M,154.29154.34,153.20155.29,-0.05-0.03%,03:01 PM08/20/2025 03:01:01 PM UTC-040020.08.2025,-0.72-0.47%,3.402.28%,25.3419.94%
A.O. Smith,72.1372.82,71.9373.03,-0.69-0.95%,03:01 PM08/20/2025 03:01:42 PM UTC-040020.08.2025,1.692.40%,6.499.88%,-7.44-9.34%
Abbott Laboratories,132.66131.25,132.05133.79,1.411.07%,03:01 PM08/20/2025 03:01:50 PM UTC-040020.08.2025,-3.05-2.26%,1.571.21%,20.7518.69%
AbbVie,208.81206.19,206.65211.65,2.621.27%,03:02 PM08/20/2025 03:02:05 PM UTC-040020.08.2025,22.6712.32%,10.445.32%,12.796.60%
Accenture,256.88255.88,255.99260.35,1.000.39%,03:01 PM08/20/2025 03:01:47 PM UTC-040020.08.2025,-70.68-22.25%,-140.55-36.27%,-79.91-24.44%
Adobe,354.86361.03,353.68362.87,-6.17-1.71%,03:01 PM08/20/2025 03:01:50 PM UTC-040020.08.2025,-62.28-14.93%,-109.26-23.54%,-198.61-35.89%
AES,13.2013.30,13.0213.45,-0.10-0.75%,03:01 PM08/20/2025 03:01:47 PM UTC-040020.08.2025,1.109.01%,3.0229.35%,-3.95-22.89%
Aflac,107.86106.89,106.63108.60,0.970.91%,03:02 PM08/20/2025 03:02:06 PM UTC-040020.08.2025,-1.44-1.35%,1.121.07%,0.620.59%
Agilent Technologies,118.82120.11,118.37120.45,-1.29-1.07%,03:02 PM08/20/2025 03:02:06 PM UTC-040020.08.2025,5.434.77%,-16.00-11.83%,-20.84-14.88%
Air Products and Chemicals,292.85290.22,290.57294.36,2.630.91%,02:59 PM08/20/2025 02:59:22 PM UTC-040020.08.2025,11.534.13%,-26.54-8.37%,14.425.22%
Airbnb,124.51126.00,123.85126.60,-1.49-1.18%,03:01 PM08/20/2025 03:01:28 PM UTC-040020.08.2025,-12.90-9.35%,-35.50-22.10%,8.797.56%
Akamai,75.8476.49,75.4676.58,-0.65-0.85%,03:01 PM08/20/2025 03:01:10 PM UTC-040020.08.2025,-3.61-4.63%,-24.90-25.07%,-26.08-25.95%
Albemarle,78.3280.55,76.0079.41,-2.23-2.77%,03:02 PM08/20/2025 03:02:06 PM UTC-040020.08.2025,21.9836.51%,-1.39-1.66%,2.823.55%
Alexandria Real Estate Equities,77.6878.27,77.2979.22,-0.59-0.75%,02:55 PM08/20/2025 02:55:45 PM UTC-040020.08.2025,3.244.45%,-19.69-20.56%,-38.60-33.66%
Align Technology,142.78143.77,141.66143.59,-0.99-0.69%,03:01 PM08/20/2025 03:01:47 PM UTC-040020.08.2025,-45.86-24.36%,-59.81-29.57%,-97.92-40.74%
Allegion,168.36169.86,168.01170.45,-1.50-0.88%,02:58 PM08/20/2025 02:58:20 PM UTC-040020.08.2025,21.5314.78%,41.2832.79%,35.9027.35%
Alliant Energy,66.3066.02,66.0467.02,0.280.42%,03:02 PM08/20/2025 03:02:02 PM UTC-040020.08.2025,2.143.43%,2.954.78%,7.2512.64%
Allstate,213.91210.38,211.46214.54,3.531.68%,03:01 PM08/20/2025 03:01:21 PM UTC-040020.08.2025,-2.28-1.09%,17.839.44%,27.1415.11%
Alphabet A,199.55201.57,196.60201.28,-2.02-1.00%,03:02 PM08/20/2025 03:02:00 PM UTC-040020.08.2025,37.7122.69%,20.1310.95%,40.9425.12%
Alphabet C,200.43202.49,197.48202.17,-2.06-1.02%,03:02 PM08/20/2025 03:02:02 PM UTC-040020.08.2025,37.4822.39%,19.1110.29%,40.1724.38%
Altria,67.6166.56,66.8367.87,1.051.58%,03:02 PM08/20/2025 03:02:01 PM UTC-040020.08.2025,6.9311.77%,13.0724.78%,14.5028.25%
Amazon,223.45228.01,220.92227.27,-4.57-2.00%,03:01 PM08/20/2025 03:01:58 PM UTC-040020.08.2025,25.4412.37%,4.381.93%,53.9730.48%
Amcor,8.568.53,8.538.66,0.030.29%,03:01 PM08/20/2025 03:01:13 PM UTC-040020.08.2025,-0.71-7.52%,-1.44-14.16%,-1.72-16.46%
AMD,163.58166.55,158.26166.63,-2.97-1.78%,03:02 PM08/20/2025 03:02:04 PM UTC-040020.08.2025,60.3451.50%,63.2355.33%,28.9519.49%
Ameren,102.15101.86,101.88103.36,0.290.28%,03:01 PM08/20/2025 03:01:41 PM UTC-040020.08.2025,2.542.59%,2.222.26%,18.4622.48%
American Electric Power,113.83112.66,113.17115.07,1.171.04%,03:02 PM08/20/2025 03:02:01 PM UTC-040020.08.2025,8.958.69%,9.799.58%,15.0515.53%
American Express,307.42306.10,304.24308.06,1.320.43%,03:00 PM08/20/2025 03:00:32 PM UTC-040020.08.2025,5.751.92%,-7.38-2.36%,53.7621.36%
American International Group,82.3681.29,81.6382.83,1.071.32%,03:01 PM08/20/2025 03:01:26 PM UTC-040020.08.2025,-4.32-5.12%,4.556.03%,6.458.77%
American Tower,208.98206.65,207.83211.14,2.331.13%,02:58 PM08/20/2025 02:58:34 PM UTC-040020.08.2025,-7.26-3.40%,16.578.74%,-13.73-6.25%
American Water Works,145.92145.21,145.36147.82,0.710.49%,03:01 PM08/20/2025 03:01:41 PM UTC-040020.08.2025,1.360.95%,16.7513.17%,2.942.09%
Ameriprise Financial,505.84506.26,501.96506.91,-0.42-0.08%,02:55 PM08/20/2025 02:55:39 PM UTC-040020.08.2025,-21.03-4.01%,-43.98-8.04%,71.6916.62%
Ametek,183.38185.20,183.08185.42,-1.82-0.98%,03:00 PM08/20/2025 03:00:32 PM UTC-040020.08.2025,-1.39-0.76%,-3.00-1.63%,18.6711.48%
Amgen,296.97295.55,295.80301.47,1.420.48%,03:02 PM08/20/2025 03:02:02 PM UTC-040020.08.2025,24.068.83%,3.671.25%,-24.97-7.77%
Amphenol,107.82109.98,104.72109.42,-2.16-1.96%,03:02 PM08/20/2025 03:02:02 PM UTC-040020.08.2025,22.3325.70%,40.1858.21%,43.4165.97%
Analog Devices,244.07230.44,228.26244.22,13.635.91%,03:02 PM08/20/2025 03:02:03 PM UTC-040020.08.2025,4.521.99%,11.415.18%,8.443.78%
Aon,374.44372.86,372.77378.25,1.580.42%,02:59 PM08/20/2025 02:59:02 PM UTC-040020.08.2025,5.091.41%,-24.08-6.16%,34.9610.53%
APA Corporation Registered Shs,20.4920.24,20.1820.77,0.251.24%,03:02 PM08/20/2025 03:02:04 PM UTC-040020.08.2025,2.8916.43%,-3.09-13.11%,-8.77-29.98%
Apple,226.04230.56,225.77230.45,-4.52-1.96%,03:02 PM08/20/2025 03:02:05 PM UTC-040020.08.2025,20.339.62%,-12.88-5.27%,5.542.45%
Applied Materials,159.80162.22,157.99161.87,-2.42-1.49%,03:01 PM08/20/2025 03:01:40 PM UTC-040020.08.2025,-3.81-2.30%,-10.24-5.95%,-46.14-22.19%
Archer Daniels Midland,60.5559.96,59.7860.73,0.590.98%,03:02 PM08/20/2025 03:02:01 PM UTC-040020.08.2025,9.6219.19%,13.8430.15%,0.661.12%
Arthur J. Gallagher,302.99300.98,301.00305.05,2.010.67%,03:01 PM08/20/2025 03:01:04 PM UTC-040020.08.2025,-49.52-14.47%,-33.58-10.29%,7.642.68%
Assurant,214.71213.74,213.95215.67,0.970.45%,03:02 PM08/20/2025 03:02:07 PM UTC-040020.08.2025,10.175.03%,10.965.44%,25.2313.47%
AT&T,29.3228.98,29.0229.38,0.341.17%,03:02 PM08/20/2025 03:02:02 PM UTC-040020.08.2025,1.154.15%,2.8010.74%,9.5349.28%
Atmos Energy,166.05165.81,165.61167.80,0.240.14%,03:01 PM08/20/2025 03:01:47 PM UTC-040020.08.2025,7.694.88%,17.3111.69%,36.1627.99%
Autodesk,288.17289.24,286.78289.97,-1.07-0.37%,03:01 PM08/20/2025 03:01:10 PM UTC-040020.08.2025,-11.35-3.81%,-8.93-3.02%,38.5015.51%
Automatic Data Processing,308.91305.72,306.13309.67,3.191.04%,03:00 PM08/20/2025 03:00:15 PM UTC-040020.08.2025,-17.58-5.50%,-8.16-2.63%,37.7014.28%
